19:39:01.972675 IP 10.0.0.5.49750 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2022989647, win 29200, options [mss 1460,sackOK,TS val 20875896 ecr 0,nop,wscale 7], length 0
19:39:02.409805 IP 10.0.0.5.49751 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1238777422, win 29200, options [mss 1460,sackOK,TS val 20876005 ecr 0,nop,wscale 7], length 0
19:39:02.850712 IP 10.0.0.5.49752 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 404026491, win 29200, options [mss 1460,sackOK,TS val 20876115 ecr 0,nop,wscale 7], length 0
19:39:03.305552 IP 10.0.0.5.49753 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1667997206, win 29200, options [mss 1460,sackOK,TS val 20876229 ecr 0,nop,wscale 7], length 0
19:39:03.770171 IP 10.0.0.5.49755 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3548123324, win 29200, options [mss 1460,sackOK,TS val 20876345 ecr 0,nop,wscale 7], length 0
19:39:04.209163 IP 10.0.0.5.49758 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2837637330, win 29200, options [mss 1460,sackOK,TS val 20876455 ecr 0,nop,wscale 7], length 0
19:39:04.641950 IP 10.0.0.5.49760 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3104547662, win 29200, options [mss 1460,sackOK,TS val 20876563 ecr 0,nop,wscale 7], length 0
19:39:05.081000 IP 10.0.0.5.49761 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3145758878, win 29200, options [mss 1460,sackOK,TS val 20876673 ecr 0,nop,wscale 7], length 0
19:39:05.524069 IP 10.0.0.5.49762 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3633931969, win 29200, options [mss 1460,sackOK,TS val 20876784 ecr 0,nop,wscale 7], length 0
19:39:05.960514 IP 10.0.0.5.49763 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 232746431, win 29200, options [mss 1460,sackOK,TS val 20876893 ecr 0,nop,wscale 7], length 0
19:39:06.432983 IP 10.0.0.5.49764 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 908932965, win 29200, options [mss 1460,sackOK,TS val 20877011 ecr 0,nop,wscale 7], length 0
19:39:06.903960 IP 10.0.0.5.49766 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1757610662, win 29200, options [mss 1460,sackOK,TS val 20877129 ecr 0,nop,wscale 7], length 0
19:39:07.144269 IP 10.0.0.5.46971 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 3955966735, win 29200, options [mss 1460,sackOK,TS val 20877189 ecr 0,nop,wscale 7], length 0
19:39:07.156802 IP 10.0.0.5.46972 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 839256831, win 29200, options [mss 1460,sackOK,TS val 20877192 ecr 0,nop,wscale 7], length 0
19:39:07.169492 IP 10.0.0.5.46973 > blob.dm3prdstp05c.store.core.windows.net.https: Flags [S], seq 35256882, win 29200, options [mss 1460,sackOK,TS val 20877195 ecr 0,nop,wscale 7], length 0
19:39:07.373236 IP 10.0.0.5.49771 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1844088590, win 29200, options [mss 1460,sackOK,TS val 20877246 ecr 0,nop,wscale 7], length 0
19:39:07.798872 IP 10.0.0.5.49772 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 5103987, win 29200, options [mss 1460,sackOK,TS val 20877352 ecr 0,nop,wscale 7], length 0
19:39:08.278061 IP 10.0.0.5.49773 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2490360913, win 29200, options [mss 1460,sackOK,TS val 20877472 ecr 0,nop,wscale 7], length 0
19:39:08.701290 IP 10.0.0.5.49774 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2557402571, win 29200, options [mss 1460,sackOK,TS val 20877578 ecr 0,nop,wscale 7], length 0
19:39:09.163709 IP 10.0.0.5.49775 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 962409113, win 29200, options [mss 1460,sackOK,TS val 20877694 ecr 0,nop,wscale 7], length 0
19:39:09.638438 IP 10.0.0.5.49776 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 2276798101, win 29200, options [mss 1460,sackOK,TS val 20877812 ecr 0,nop,wscale 7], length 0
19:39:10.065224 IP 10.0.0.5.49777 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 205751694, win 29200, options [mss 1460,sackOK,TS val 20877919 ecr 0,nop,wscale 7], length 0
19:39:10.492973 IP 10.0.0.5.49778 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 1354269602, win 29200, options [mss 1460,sackOK,TS val 20878026 ecr 0,nop,wscale 7], length 0
19:39:10.915303 IP 10.0.0.5.49779 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 3825853051, win 29200, options [mss 1460,sackOK,TS val 20878132 ecr 0,nop,wscale 7], length 0
19:39:11.363501 IP 10.0.0.5.49780 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 724663044, win 29200, options [mss 1460,sackOK,TS val 20878244 ecr 0,nop,wscale 7], length 0
19:39:11.948201 IP 10.0.0.5.49781 > blob.by4prdstr03a.store.core.windows.net.http: Flags [S], seq 313303727, win 29200, options [mss 1460,sackOK,TS val 20878390 ecr 0,nop,wscale 7], length 0
