19:39:02.010536 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49750: Flags [S.], seq 909808302, ack 2022989648, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253666243 ecr 20875896], length 0
19:39:02.449507 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49751: Flags [S.], seq 551815351, ack 1238777423, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 1786257 ecr 20876005], length 0
19:39:02.888681 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49752: Flags [S.], seq 3044760159, ack 404026492, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255288053 ecr 20876115], length 0
19:39:03.343625 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49753: Flags [S.], seq 60333383, ack 1667997207, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251467366 ecr 20876229], length 0
19:39:03.809915 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49755: Flags [S.], seq 202611843, ack 3548123325, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248512557 ecr 20876345], length 0
19:39:04.246978 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49758: Flags [S.], seq 2086348540, ack 2837637331, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 248509474 ecr 20876455], length 0
19:39:04.679987 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49760: Flags [S.], seq 3054937189, ack 3104547663, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255282684 ecr 20876563], length 0
19:39:05.119058 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49761: Flags [S.], seq 1496757476, ack 3145758879, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249361670 ecr 20876673], length 0
19:39:05.562016 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49762: Flags [S.], seq 3685096597, ack 3633931970, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254404966 ecr 20876784], length 0
19:39:06.000112 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49763: Flags [S.], seq 2725512900, ack 232746432, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250809089 ecr 20876893], length 0
19:39:06.470933 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49764: Flags [S.], seq 2779144278, ack 908932966, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239266559 ecr 20877011], length 0
19:39:06.941853 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49766: Flags [S.], seq 1875541768, ack 1757610663, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255294187 ecr 20877129], length 0
19:39:07.144709 IP blob.dm3prdstp05c.store.core.windows.net.https > 10.0.0.5.46971: Flags [S.], seq 3834114719, ack 3955966736, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 247760516 ecr 20877189], length 0
19:39:07.157162 IP blob.dm3prdstp05c.store.core.windows.net.https > 10.0.0.5.46972: Flags [S.], seq 2686786263, ack 839256832, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 247394746 ecr 20877192], length 0
19:39:07.169758 IP blob.dm3prdstp05c.store.core.windows.net.https > 10.0.0.5.46973: Flags [S.], seq 3495775537, ack 35256883, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 249759690 ecr 20877195], length 0
19:39:07.411021 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49771: Flags [S.], seq 147474800, ack 1844088591, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239283447 ecr 20877246], length 0
19:39:07.836762 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49772: Flags [S.], seq 3244562285, ack 5103988, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253680063 ecr 20877352], length 0
19:39:08.315984 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49773: Flags [S.], seq 2761483348, ack 2490360914, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 14109163 ecr 20877472], length 0
19:39:08.739229 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49774: Flags [S.], seq 838346299, ack 2557402572, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253669610 ecr 20877578], length 0
19:39:09.201699 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49775: Flags [S.], seq 1430474780, ack 962409114, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254414373 ecr 20877694], length 0
19:39:09.676318 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49776: Flags [S.], seq 3874664000, ack 2276798102, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251490264 ecr 20877812], length 0
19:39:10.103012 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49777: Flags [S.], seq 1661232878, ack 205751695, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 256031897 ecr 20877919], length 0
19:39:10.531319 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49778: Flags [S.], seq 4151567716, ack 1354269603, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 125834037 ecr 20878026], length 0
19:39:10.953199 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49779: Flags [S.], seq 588920989, ack 3825853052, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 1667568 ecr 20878132], length 0
19:39:11.401415 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49780: Flags [S.], seq 3914808386, ack 724663045, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250793491 ecr 20878244], length 0
19:39:11.986029 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49781: Flags [S.], seq 3905821603, ack 313303728, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 20431699 ecr 20878390], length 0
19:39:12.413600 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49782: Flags [S.], seq 3233658823, ack 908348770, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254409246 ecr 20878497], length 0
19:39:12.902066 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49783: Flags [S.], seq 3832348800, ack 2587977233, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252127923 ecr 20878619], length 0
19:39:13.545033 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49784: Flags [S.], seq 1625607338, ack 419065473, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254421474 ecr 20878780], length 0
19:39:14.046568 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49785: Flags [S.], seq 2220956476, ack 3246573432, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 251466504 ecr 20878905], length 0
19:39:14.542408 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49786: Flags [S.], seq 1594527811, ack 2101850298, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253665378 ecr 20879029], length 0
19:39:15.003292 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49787: Flags [S.], seq 102555957, ack 3020260125, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 256010221 ecr 20879144], length 0
19:39:15.435366 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49788: Flags [S.], seq 731971757, ack 1293839046, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250071162 ecr 20879252], length 0
19:39:15.872662 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49789: Flags [S.], seq 1929791211, ack 663159286, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 8785226 ecr 20879361], length 0
19:39:16.332633 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49790: Flags [S.], seq 2199244280, ack 2356770622, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 13149749 ecr 20879476], length 0
19:39:16.884521 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49791: Flags [S.], seq 1189344457, ack 1279340291, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 240520134 ecr 20879587], length 0
19:39:18.573929 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49792: Flags [S.], seq 318482250, ack 2031637852, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 4058387 ecr 20880037], length 0
19:39:19.065883 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49793: Flags [S.], seq 3061112071, ack 3591114798, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252954031 ecr 20880160], length 0
19:39:19.483274 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49794: Flags [S.], seq 2498673454, ack 3468559835, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254423416 ecr 20880264], length 0
19:39:19.951321 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49795: Flags [S.], seq 1695776489, ack 2322541823, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 3105055 ecr 20880381], length 0
19:39:20.387793 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49796: Flags [S.], seq 4022537499, ack 1206841690, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255218463 ecr 20880490], length 0
19:39:20.861516 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49797: Flags [S.], seq 4066914096, ack 2598900135, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 21920079 ecr 20880609], length 0
19:39:21.295362 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49798: Flags [S.], seq 227026258, ack 1698693540, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 3298568 ecr 20880717], length 0
19:39:21.733983 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49799: Flags [S.], seq 2124620037, ack 2479486293, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 254400023 ecr 20880827], length 0
19:39:22.186603 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49800: Flags [S.], seq 125962879, ack 2523394995, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 255994652 ecr 20880940], length 0
19:39:22.630967 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49801: Flags [S.], seq 1590944532, ack 241451448, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 253668986 ecr 20881051], length 0
19:39:23.235227 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49802: Flags [S.], seq 61466337, ack 2243659612, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 256017629 ecr 20881202], length 0
19:39:23.693469 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49803: Flags [S.], seq 3716398525, ack 2465408536, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 250079667 ecr 20881317], length 0
19:39:24.167158 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49804: Flags [S.], seq 3804168433, ack 126099112, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 239263686 ecr 20881435], length 0
19:39:24.648696 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49805: Flags [S.], seq 1025873573, ack 3666910427, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 9949473 ecr 20881555], length 0
19:39:25.105036 IP blob.by4prdstr03a.store.core.windows.net.http > 10.0.0.5.49806: Flags [S.], seq 981782119, ack 1965891301, win 8192, options [mss 1440,nop,wscale 8,sackOK,TS val 252136569 ecr 20881670], length 0
