PING 13.65.92.139 (13.65.92.139) 56(84) bytes of data.
64 bytes from 13.65.92.139: icmp_seq=1 ttl=57 time=0.748 ms
64 bytes from 13.65.92.139: icmp_seq=2 ttl=57 time=0.418 ms
64 bytes from 13.65.92.139: icmp_seq=3 ttl=57 time=0.475 ms
64 bytes from 13.65.92.139: icmp_seq=4 ttl=57 time=0.421 ms
64 bytes from 13.65.92.139: icmp_seq=5 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=6 ttl=57 time=0.376 ms
64 bytes from 13.65.92.139: icmp_seq=7 ttl=57 time=0.369 ms
64 bytes from 13.65.92.139: icmp_seq=8 ttl=57 time=0.408 ms
64 bytes from 13.65.92.139: icmp_seq=9 ttl=57 time=0.455 ms
64 bytes from 13.65.92.139: icmp_seq=10 ttl=57 time=0.423 ms
64 bytes from 13.65.92.139: icmp_seq=11 ttl=57 time=0.361 ms
64 bytes from 13.65.92.139: icmp_seq=12 ttl=57 time=0.392 ms
64 bytes from 13.65.92.139: icmp_seq=13 ttl=57 time=0.378 ms
64 bytes from 13.65.92.139: icmp_seq=14 ttl=57 time=0.392 ms
64 bytes from 13.65.92.139: icmp_seq=15 ttl=57 time=0.397 ms
64 bytes from 13.65.92.139: icmp_seq=16 ttl=57 time=0.350 ms
64 bytes from 13.65.92.139: icmp_seq=17 ttl=57 time=0.406 ms
64 bytes from 13.65.92.139: icmp_seq=18 ttl=57 time=0.452 ms
64 bytes from 13.65.92.139: icmp_seq=19 ttl=57 time=0.637 ms
64 bytes from 13.65.92.139: icmp_seq=20 ttl=57 time=0.397 ms
64 bytes from 13.65.92.139: icmp_seq=21 ttl=57 time=0.379 ms
64 bytes from 13.65.92.139: icmp_seq=22 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=23 ttl=57 time=0.367 ms
64 bytes from 13.65.92.139: icmp_seq=24 ttl=57 time=0.365 ms
64 bytes from 13.65.92.139: icmp_seq=25 ttl=57 time=0.362 ms
64 bytes from 13.65.92.139: icmp_seq=26 ttl=57 time=0.369 ms
64 bytes from 13.65.92.139: icmp_seq=27 ttl=57 time=0.364 ms
64 bytes from 13.65.92.139: icmp_seq=28 ttl=57 time=0.373 ms
64 bytes from 13.65.92.139: icmp_seq=29 ttl=57 time=0.643 ms
64 bytes from 13.65.92.139: icmp_seq=30 ttl=57 time=0.704 ms
64 bytes from 13.65.92.139: icmp_seq=31 ttl=57 time=0.387 ms
64 bytes from 13.65.92.139: icmp_seq=32 ttl=57 time=0.371 ms
64 bytes from 13.65.92.139: icmp_seq=33 ttl=57 time=0.358 ms
64 bytes from 13.65.92.139: icmp_seq=34 ttl=57 time=0.380 ms
