PING 13.66.225.134 (13.66.225.134) 56(84) bytes of data.
64 bytes from 13.66.225.134: icmp_seq=1 ttl=59 time=1.45 ms
64 bytes from 13.66.225.134: icmp_seq=2 ttl=59 time=1.33 ms
64 bytes from 13.66.225.134: icmp_seq=3 ttl=59 time=1.10 ms
64 bytes from 13.66.225.134: icmp_seq=4 ttl=59 time=1.34 ms
64 bytes from 13.66.225.134: icmp_seq=5 ttl=59 time=0.712 ms
64 bytes from 13.66.225.134: icmp_seq=6 ttl=59 time=0.890 ms
64 bytes from 13.66.225.134: icmp_seq=7 ttl=59 time=0.885 ms
64 bytes from 13.66.225.134: icmp_seq=8 ttl=59 time=0.587 ms
64 bytes from 13.66.225.134: icmp_seq=9 ttl=59 time=0.645 ms
64 bytes from 13.66.225.134: icmp_seq=10 ttl=59 time=0.699 ms
64 bytes from 13.66.225.134: icmp_seq=11 ttl=59 time=0.896 ms
64 bytes from 13.66.225.134: icmp_seq=12 ttl=59 time=0.982 ms
64 bytes from 13.66.225.134: icmp_seq=13 ttl=59 time=0.971 ms
64 bytes from 13.66.225.134: icmp_seq=14 ttl=59 time=1.01 ms
64 bytes from 13.66.225.134: icmp_seq=15 ttl=59 time=1.44 ms
64 bytes from 13.66.225.134: icmp_seq=16 ttl=59 time=1.10 ms
64 bytes from 13.66.225.134: icmp_seq=17 ttl=59 time=0.977 ms
64 bytes from 13.66.225.134: icmp_seq=18 ttl=59 time=0.807 ms
64 bytes from 13.66.225.134: icmp_seq=19 ttl=59 time=1.01 ms
64 bytes from 13.66.225.134: icmp_seq=20 ttl=59 time=1.05 ms
64 bytes from 13.66.225.134: icmp_seq=21 ttl=59 time=0.963 ms
64 bytes from 13.66.225.134: icmp_seq=22 ttl=59 time=0.857 ms
64 bytes from 13.66.225.134: icmp_seq=23 ttl=59 time=0.834 ms
64 bytes from 13.66.225.134: icmp_seq=24 ttl=59 time=1.12 ms
64 bytes from 13.66.225.134: icmp_seq=25 ttl=59 time=1.01 ms
64 bytes from 13.66.225.134: icmp_seq=26 ttl=59 time=1.36 ms
64 bytes from 13.66.225.134: icmp_seq=27 ttl=59 time=0.809 ms
