,central,west-central,north-central,east1,east2,south-central,west1,west2,north-europe,uk-west,japan-east,japan-west
central,0,15,15,32,35,23,38,36,102,110,139,131
west-central,15,0,30,46,50,23,28,21,-1,124,124,116
north-central,15,30,2,21,23,38,52,50,89,98,153,146
east1,32,46,20,1,6,29,64,67,86,79,150,161
east2,35,50,23,6,0,27,65,71,90,84,149,156
south-central,23,23,37,29,27,0,46,44,125,108,122,130
west1,46,28,52,64,65,46,0,22,139,138,117,109
west2,36,21,50,67,71,44,22,1,137,146,103,96
north-europe,102,-1,90,85,90,125,139,137,0,15,240,232
uk-west,110,124,98,79,84,108,138,146,15,0,231,241
japan-east,139,124,153,150,149,122,117,103,240,231,0,8
japan-west,131,116,145,161,156,130,109,96,232,241,8,0
